CREATE TABLE review (
    id INT NOT NULL PRIMARY KEY AUTO_INCREMENT,
    user_name VARCHAR(50) NOT NULL,
    comment TEXT NOT NULL,
    drugs_id VARCHAR(32),
    FOREIGN KEY (drugs_id) REFERENCES drugs (id)
);

INSERT INTO review (user_name, comment, drugs_id) VALUES ('User1', 'Works well for me. Nice Product', 1);
INSERT INTO review (user_name, comment, drugs_id) VALUES ('User2', 'No side effects. Good medicine', 1);

INSERT INTO review (user_name, comment, drugs_id) VALUES ('User3', 'Effective antibiotic.', 1);
INSERT INTO review (user_name, comment, drugs_id) VALUES ('User4', 'Quick recovery. excellent', 1);

INSERT INTO review (user_name, comment, drugs_id) VALUES ('User5', 'Controls blood sugar. Great!', 1);
INSERT INTO review (user_name, comment, drugs_id) VALUES ('User6', 'Easy to take.', 1);

INSERT INTO review (user_name, comment, drugs_id) VALUES ('User7', 'Effective pain relief. Splendid', 2);
INSERT INTO review (user_name, comment, drugs_id) VALUES ('User8', 'Good for headaches. Good', 2);

INSERT INTO review (user_name, comment, drugs_id) VALUES ('User9', 'Helps with nerve pain. I\'d recommend it', 2);
INSERT INTO review (user_name, comment, drugs_id) VALUES ('User10', 'Thank God, No more tingling.', 2);

INSERT INTO review (user_name, comment, drugs_id) VALUES ('User11', 'Lowers cholesterol. Impressed!', 2);
INSERT INTO review (user_name, comment, drugs_id) VALUES ('User12', 'Better than expected.', 1);

INSERT INTO review (user_name, comment, drugs_id) VALUES ('User13', 'Effective for heart health. A+', 1);
INSERT INTO review (user_name, comment, drugs_id) VALUES ('User14', 'No side effects. Highly recommend.', 2);

INSERT INTO review (user_name, comment, drugs_id) VALUES ('User15', 'Relieves water retention. Life-saver!', 2);
INSERT INTO review (user_name, comment, drugs_id) VALUES ('User16', 'Quick results. Happy with the product.', 1);

INSERT INTO review (user_name, comment, drugs_id) VALUES ('User17', 'Helps with chest pain. Good medication.', 1);
INSERT INTO review (user_name, comment, drugs_id) VALUES ('User18', 'Long-lasting relief. Satisfied customer.', 2);

INSERT INTO review (user_name, comment, drugs_id) VALUES ('User19', 'Reduces inflammation. Effective.', 1);
INSERT INTO review (user_name, comment, drugs_id) VALUES ('User20', 'Easy on the stomach. Would buy again.', 1);

INSERT INTO review (user_name, comment, drugs_id) VALUES ('User21', 'Good painkiller. Happy with the purchase.', 1);
INSERT INTO review (user_name, comment, drugs_id) VALUES ('User22', 'Reliable. No complaints.', 2);

INSERT INTO review (user_name, comment, drugs_id) VALUES ('User23', 'Lowers blood pressure. Excellent.', 2);
INSERT INTO review (user_name, comment, drugs_id) VALUES ('User24', 'Stable results. Impressed with the quality.', 2);

INSERT INTO review (user_name, comment, drugs_id) VALUES ('User25', 'Relieves pain quickly. Good price.', 1);
INSERT INTO review (user_name, comment, drugs_id) VALUES ('User26', 'Trusted brand. Works well.', 1);

INSERT INTO review (user_name, comment, drugs_id) VALUES ('User27', 'Helps with sleep. Thankful!', 2);
INSERT INTO review (user_name, comment, drugs_id) VALUES ('User28', 'No more insomnia. Great product.', 2);

